Aents 서비스 (Korean Service Name),주요 매핑 토픽 (Main Mapped English Topic),하위 매핑 항목 (Mapped English Sub-item),비고 (Notes)
데이터 수집,ESG Data Integration,ESG Data Collection,"기존 데이터의 'Data Integration', 'ESG Data Collection'과 연결"
배출량 산정,Carbon Footprint Analysis,Carbon Accounting,"온실가스 배출량 추적, 탄소 발자국 관리 포함"
Scope 3,Carbon Footprint Analysis,Scope3 Emissions Tracking,기존 데이터의 'Scope3 Emissions Tracking'과 직접 매칭
탄소 리포트 생성,ESG Reporting,Carbon Reporting,지속가능성 보고 포함
제품탄소발자국,Carbon Footprint Analysis,Product Carbon Footprint (신규 제안),기존 'Carbon Footprint Analysis' 내 세부 항목으로 제안
ESG 데이터 수집,ESG Data Integration,ESG Data Collection,실시간 ESG 데이터 모니터링 포함
ESG 데이터 관리,ESG Data Integration,ESG Data Management (신규 제안),'ESG Data Integration' 내 포괄적인 데이터 관리 항목으로 제안 (ESG Data Quality Management 포함)
기후 물리 리스크 분석,ESG Risk Management,Climate Risk Assessment,ESG Scenario Analysis와 연관
CBAM,Regulatory Compliance,ESG Regulatory Compliance,직접적인 규제 준수 및 컨설팅
KSSB,Regulatory Compliance,ESG Regulatory Compliance,ESG Reporting과 연관
CDP,ESG Disclosure,ESG Reporting,"Carbon Reporting과 연관, 공시/보고 지원"
탄소 감축,Sustainability Management,Carbon Neutral Goals Setting,"Energy Efficiency Management, 탄소 감축 전략 포함"
